power,cruise speed,bandwidth,quality,illuminance,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3,req_4,req_5
49.0,4.5333,34.4334,2.0,21291.3262,2.0,99.1517,4.5757,0.0,False,True,True,True,True,True
54.0,4.4733,44.0416,2.0,12081.4466,2.0,34.0581,9.4543,0.0,False,False,False,True,True,True
88.0,3.3353,26.7559,1.0,62498.5663,0.0,56.0068,9.9981,1.0,True,True,True,True,True,True
32.0,0.4692,16.7777,0.0,68360.243,1.0,13.1309,9.3281,1.0,False,False,False,True,True,True
49.0,1.355,25.1474,1.0,104126.157,0.0,67.3951,2.2042,0.0,True,True,True,True,True,True
86.0,3.7377,34.9762,2.0,117460.6756,1.0,67.126,5.7777,0.0,False,False,True,False,True,True
100.0,3.9453,35.0293,0.0,27646.4507,0.0,93.6862,1.2375,1.0,True,True,True,True,True,True
1.0,2.326,28.113,1.0,13840.9531,0.0,6.1061,0.3777,1.0,False,False,True,True,True,True
29.0,1.1164,49.9458,2.0,43105.9206,2.0,79.3797,9.9406,0.0,False,True,True,False,True,True
31.0,0.6014,34.3603,0.0,22989.6666,2.0,112.6332,6.0181,0.0,True,True,True,True,True,True
93.0,2.8353,48.4365,2.0,29011.6658,2.0,55.7322,1.5497,1.0,True,True,True,True,True,True
50.0,0.1192,45.161,1.0,49348.3577,2.0,74.1069,2.6169,0.0,True,True,True,True,True,True
19.0,3.5656,23.1811,2.0,110618.0717,1.0,70.0769,6.3794,1.0,True,True,True,True,True,True
33.0,3.9619,47.1057,0.0,24856.4431,1.0,21.5732,2.0966,0.0,False,False,False,True,True,True
91.0,4.2362,19.3569,1.0,56060.4842,2.0,71.202,8.9095,0.0,False,True,True,True,True,True
91.0,3.1956,20.4888,0.0,74948.712,2.0,25.4761,5.3756,1.0,False,False,False,True,True,True
41.0,1.3315,44.9679,2.0,22559.1653,2.0,102.6568,2.3582,0.0,True,True,True,True,True,True
55.0,1.8935,39.9051,1.0,82344.0315,1.0,6.828,8.5834,1.0,True,True,True,True,True,True
85.0,1.0693,45.8214,2.0,109763.4726,2.0,7.69,1.6579,1.0,False,True,True,True,True,True
58.0,0.3005,25.6164,2.0,52328.1633,0.0,79.604,4.1244,0.0,True,True,True,True,True,True
19.0,2.6546,19.6929,2.0,9455.3413,1.0,27.5513,7.253,0.0,False,False,False,True,True,True
91.0,4.2739,10.5782,0.0,53481.6363,1.0,98.2056,8.102,0.0,False,False,True,True,True,True
13.0,0.5391,22.5601,1.0,116907.0976,0.0,47.3829,6.0671,1.0,True,True,True,True,True,True
68.0,1.9712,10.1477,1.0,33378.1699,2.0,51.8461,4.7992,1.0,True,True,True,True,True,True
51.0,1.4538,11.1793,2.0,19423.0156,2.0,62.0175,2.9515,0.0,True,True,True,True,True,True
68.0,1.6247,34.8585,0.0,60355.5737,2.0,46.9519,1.4087,1.0,True,True,True,True,True,True
25.0,1.6021,38.142,1.0,72959.5817,0.0,29.272,7.8477,1.0,False,False,False,True,True,True
63.0,3.1921,42.1439,0.0,80151.9311,2.0,113.9238,3.2482,0.0,True,True,True,True,True,True
90.0,2.9984,48.266,1.0,63807.3081,2.0,116.3156,1.75,0.0,True,True,True,True,True,True
83.0,2.7363,47.2817,2.0,82560.0211,0.0,116.2517,7.1298,1.0,True,True,True,True,True,True
16.0,1.6103,38.5227,2.0,90357.4654,0.0,99.7459,4.2824,1.0,True,True,True,True,True,True
37.0,2.5341,15.5599,2.0,77729.4398,2.0,90.3186,2.5321,0.0,True,True,True,True,True,True
23.0,2.1319,11.2836,1.0,15312.7403,2.0,116.5077,2.3399,1.0,True,True,True,True,True,True
74.0,1.4914,31.3284,0.0,87707.5175,2.0,111.2515,5.6241,1.0,True,True,True,True,True,True
31.0,1.5009,45.0884,1.0,3064.7329,2.0,108.0499,1.7496,0.0,True,True,True,True,True,True
12.0,4.4994,18.1543,1.0,66476.5879,0.0,22.3919,7.4275,1.0,False,False,False,True,True,True
11.0,2.4047,39.8896,0.0,96641.9425,1.0,8.2945,7.7367,1.0,True,True,True,True,True,True
99.0,1.0918,25.4962,1.0,23515.3322,0.0,35.1927,0.2933,1.0,True,True,True,True,True,True
47.0,3.3477,10.9484,0.0,115420.043,1.0,106.6114,5.988,1.0,True,True,True,True,True,True
34.0,3.7908,37.9289,0.0,80167.6268,0.0,25.5163,0.5538,1.0,False,False,False,True,True,True
96.0,3.5267,40.0913,1.0,31400.5243,1.0,49.4869,5.4446,0.0,True,True,True,True,True,True
30.0,0.5568,44.9408,2.0,45098.9793,1.0,65.6067,1.2843,1.0,True,True,True,True,True,True
8.0,1.9837,44.8313,1.0,69313.9168,1.0,52.01,7.7427,0.0,False,True,True,True,True,True
23.0,3.9504,25.5668,2.0,14811.7196,0.0,38.3113,8.7917,1.0,True,True,True,True,True,True
68.0,4.1016,30.5086,2.0,107985.6041,0.0,87.4351,1.8918,0.0,True,True,True,True,True,True
38.0,0.5995,39.3143,2.0,75254.1554,0.0,95.5848,6.9949,0.0,False,True,True,True,True,True
10.0,2.541,39.1635,0.0,97055.3203,0.0,6.9292,2.2171,0.0,True,True,True,True,True,True
89.0,4.4339,38.1858,0.0,90928.5086,0.0,23.6771,8.1182,1.0,False,False,False,True,True,True
97.0,1.8312,34.536,2.0,8078.3328,2.0,63.6581,8.9652,0.0,True,True,True,True,True,True
95.0,2.4771,45.4595,0.0,66659.3634,1.0,88.7666,2.3708,0.0,True,True,True,True,True,True
30.0,4.6778,44.1926,0.0,33968.5644,1.0,86.9647,2.9722,1.0,True,True,True,True,True,True
25.0,2.4664,37.5355,2.0,63559.8893,0.0,53.4837,3.4541,1.0,True,True,True,True,True,True
90.0,2.3236,11.723,1.0,72150.7198,2.0,94.3768,2.8772,0.0,True,True,True,True,True,True
49.0,0.3691,46.4679,0.0,22178.4155,1.0,61.1079,0.7219,0.0,True,True,True,True,True,True
90.0,2.6812,46.7541,0.0,62712.3354,0.0,81.2,4.9019,1.0,True,True,True,True,True,True
28.0,3.4271,31.0101,2.0,2572.1636,2.0,104.6424,3.6601,0.0,False,False,True,True,True,True
73.0,3.8938,39.2585,0.0,65688.3158,1.0,1.1111,8.7951,1.0,True,True,True,True,True,True
97.0,1.5971,43.2529,2.0,77900.773,1.0,52.4288,2.2927,0.0,True,True,True,True,True,True
3.0,4.4732,21.3767,1.0,95316.0618,2.0,37.2986,4.3821,0.0,False,False,True,True,True,True
17.0,0.7385,49.3233,1.0,42659.1068,0.0,61.1211,5.8264,0.0,False,True,True,True,True,True
69.0,1.6049,47.29,2.0,72594.9416,0.0,119.5499,1.9824,1.0,True,True,True,True,True,True
26.0,0.6109,39.6037,0.0,35836.7386,2.0,44.2284,1.2588,1.0,True,True,True,True,True,True
21.0,2.4557,12.5114,2.0,118532.0013,0.0,7.2669,2.777,1.0,False,False,True,True,True,True
63.0,4.252,38.5363,0.0,29841.7275,1.0,113.4354,2.368,0.0,True,True,True,True,True,True
0.0,2.0047,45.8256,2.0,66480.8764,2.0,67.4529,9.9757,0.0,False,False,True,True,True,True
99.0,1.7617,36.6629,2.0,5491.7149,0.0,74.8741,1.0749,1.0,True,True,True,True,True,True
52.0,2.9423,19.7482,1.0,70436.5246,1.0,101.0311,6.8672,0.0,True,True,True,True,True,True
13.0,1.9123,43.1015,2.0,96704.249,0.0,101.8009,7.7407,1.0,True,True,True,True,True,True
21.0,1.1444,27.7829,1.0,72033.8927,0.0,12.3767,6.3182,0.0,False,False,True,True,True,True
7.0,0.6763,29.1113,0.0,24578.6819,1.0,112.5666,1.4755,0.0,True,True,True,True,True,True
94.0,1.3231,38.2492,0.0,2105.4716,2.0,70.2521,1.6552,0.0,True,True,True,False,True,True
47.0,1.6334,23.6577,0.0,90715.537,0.0,29.7926,3.8862,0.0,False,False,False,True,True,True
67.0,2.1836,15.2173,2.0,55857.4232,0.0,17.4219,1.4177,0.0,False,False,False,True,True,True
87.0,0.1023,48.1162,0.0,9117.9187,1.0,64.8039,6.2945,1.0,True,True,True,True,True,True
34.0,0.9117,37.723,1.0,13039.4093,1.0,24.4582,2.8766,1.0,False,False,False,True,True,True
11.0,3.3437,18.373,0.0,78379.5553,0.0,52.857,6.143,0.0,True,True,True,True,True,True
0.0,2.3256,39.5788,0.0,104835.2178,1.0,71.3431,1.408,0.0,False,True,True,True,True,True
5.0,0.2752,23.0637,1.0,33966.7686,0.0,37.1648,9.0969,1.0,True,True,True,True,True,True
34.0,0.0373,14.7157,0.0,106168.262,2.0,32.9388,3.2709,0.0,False,False,True,True,True,True
56.0,0.6763,36.0802,1.0,5757.2738,1.0,117.44,3.8303,0.0,True,True,True,True,True,True
44.0,4.0592,29.4784,2.0,46010.429,2.0,59.5409,6.5701,0.0,True,True,True,True,True,True
55.0,3.1224,28.7563,2.0,79661.2868,0.0,53.7543,8.8479,1.0,True,True,True,True,True,True
44.0,1.7848,42.5845,1.0,65807.1471,1.0,47.9709,3.2549,1.0,True,True,True,True,True,True
68.0,2.2403,43.1326,0.0,34743.3522,1.0,81.6647,9.8357,1.0,True,True,True,True,True,True
80.0,0.6934,40.4728,2.0,42261.5751,1.0,30.4388,9.968,1.0,False,False,True,True,True,True
88.0,1.503,11.7789,2.0,53688.4243,2.0,24.9886,5.6695,1.0,False,False,False,True,True,True
92.0,2.2917,37.3734,0.0,108324.5248,2.0,5.3886,8.462,1.0,True,True,True,True,True,True
28.0,2.2458,38.0464,1.0,59864.1757,1.0,114.9464,2.3238,1.0,True,True,True,True,True,True
57.0,2.8962,25.0186,0.0,117443.1588,1.0,4.6703,1.4987,0.0,True,True,True,True,True,True
38.0,0.488,39.7103,2.0,30809.0273,0.0,82.5127,8.1383,1.0,True,True,True,True,True,True
13.0,0.4247,10.7115,1.0,91829.7164,1.0,52.8463,1.7863,0.0,True,True,True,True,True,True
55.0,0.1173,30.1319,1.0,95239.0387,1.0,84.3592,6.3191,1.0,True,True,True,True,True,True
81.0,0.0335,16.6401,1.0,65264.977,0.0,83.4093,6.6205,1.0,True,True,True,True,True,True
38.0,1.2578,40.9217,1.0,4822.2146,1.0,26.644,6.959,1.0,False,False,False,True,True,True
86.0,2.186,48.7652,2.0,99467.2043,0.0,62.101,4.874,1.0,True,True,True,True,True,True
62.0,2.586,20.1026,1.0,78437.1132,2.0,118.2674,1.5061,0.0,True,True,True,True,True,True
30.0,1.5488,46.1557,0.0,33949.3883,0.0,113.6774,6.3865,0.0,True,True,True,True,True,True
13.0,3.0653,20.3015,1.0,9961.5484,0.0,93.3602,8.7846,0.0,True,True,True,True,True,True
60.0,4.7968,42.6828,1.0,106755.4047,2.0,3.1014,8.1458,1.0,True,True,True,True,True,True
39.0,3.7528,45.2968,1.0,95763.7464,2.0,32.9646,0.3328,1.0,False,False,False,True,True,True
42.0,3.7272,36.4796,0.0,85886.3334,0.0,103.7778,8.3138,1.0,True,True,True,True,True,True
40.0,4.2601,25.8571,1.0,114746.1147,1.0,32.2877,5.5148,0.0,False,False,False,True,True,True
46.0,4.4806,43.9424,2.0,83701.0332,0.0,54.2438,9.0076,0.0,False,False,True,True,True,True
18.0,4.3118,31.7917,0.0,108198.9849,1.0,119.8094,7.1616,1.0,True,True,True,True,True,True
42.0,0.5894,21.868,2.0,113835.3974,1.0,50.4407,4.7947,0.0,False,True,True,True,True,True
61.0,0.689,29.266,1.0,69066.8789,2.0,59.5355,4.2155,1.0,True,True,True,True,True,True
28.0,3.7511,18.6998,0.0,85328.8819,2.0,81.3222,2.7208,0.0,True,True,True,True,True,True
59.0,4.1235,45.7565,0.0,89746.225,2.0,45.5282,3.8544,0.0,True,True,True,True,True,True
51.0,0.4326,15.6254,0.0,31061.4494,2.0,91.1164,3.2438,0.0,True,True,True,True,True,True
4.0,4.4546,14.4502,2.0,76324.9127,1.0,33.4111,8.7261,1.0,False,False,False,True,True,True
71.0,0.4189,12.4358,0.0,64109.9241,0.0,16.3427,9.1504,1.0,False,False,False,True,True,True
92.0,4.0061,34.5558,0.0,37782.7527,1.0,49.094,5.5924,0.0,True,True,True,True,True,True
41.0,4.4925,40.8823,1.0,8544.5346,1.0,51.8085,9.6302,0.0,False,True,True,False,True,True
74.0,1.8463,35.3971,2.0,46260.3446,0.0,116.8912,5.2136,0.0,True,True,True,True,True,True
30.0,2.9285,22.0713,1.0,30875.0178,1.0,60.0373,9.6446,1.0,False,False,False,True,True,True
37.0,3.761,11.7801,2.0,69702.1087,0.0,18.8545,2.6903,1.0,False,False,False,True,True,True
70.0,1.2236,14.4341,2.0,16895.8689,0.0,30.5275,1.2607,0.0,False,False,False,True,True,True
95.0,2.8054,40.6897,0.0,58213.197,1.0,101.031,0.0078,1.0,True,True,True,True,True,True
63.0,0.5142,35.9976,0.0,69596.1634,1.0,108.8404,8.1857,0.0,True,True,True,True,True,True
32.0,3.4257,36.6065,0.0,12387.6686,2.0,100.6854,9.7681,0.0,False,True,True,True,True,True
90.0,2.5746,14.6855,2.0,89090.7398,0.0,78.1775,5.0009,1.0,True,True,True,True,True,True
31.0,1.0272,44.2348,1.0,89198.5975,2.0,49.9805,4.7168,1.0,True,True,True,True,True,True
10.0,3.2639,24.9749,1.0,23726.5838,1.0,17.1691,7.6603,0.0,False,False,False,True,True,True
76.0,1.4441,37.3608,2.0,16330.067,0.0,44.0986,5.582,0.0,False,True,True,True,True,True
27.0,4.2927,33.3478,2.0,31290.3174,2.0,49.3476,3.0223,0.0,True,True,True,True,True,True
8.0,0.1471,37.8343,2.0,84596.9859,2.0,35.4799,8.7492,0.0,False,False,False,True,True,True
55.0,0.3313,37.8908,0.0,113679.6842,0.0,24.0556,8.4691,0.0,False,False,False,True,True,True
21.0,2.8819,44.3698,0.0,23178.0266,0.0,82.2518,6.0935,1.0,True,True,True,True,True,True
98.0,0.8015,47.6667,0.0,87766.5875,0.0,21.5506,6.3026,1.0,False,False,False,True,True,True
44.0,3.5672,25.7523,0.0,14481.5412,0.0,51.9896,0.3555,1.0,True,True,True,True,True,True
95.0,1.526,28.5195,0.0,103728.2488,2.0,18.4815,5.6794,1.0,False,False,False,True,True,True
28.0,2.3927,32.6319,0.0,89498.9294,1.0,106.9722,1.3374,0.0,True,True,True,True,True,True
34.0,3.673,45.8539,0.0,43992.9916,0.0,109.467,6.4719,1.0,True,True,True,True,True,True
33.0,4.3268,18.9428,2.0,11978.332,0.0,115.6358,5.4296,1.0,True,True,True,True,True,True
93.0,0.1278,40.0066,1.0,39172.9622,0.0,99.6158,7.2214,1.0,True,True,True,True,True,True
14.0,2.2249,43.9975,2.0,55192.2604,2.0,69.936,2.6329,0.0,False,True,True,True,True,True
75.0,4.9946,45.6502,1.0,107862.3514,0.0,102.1195,4.9685,0.0,False,True,True,True,True,True
63.0,2.9412,22.7319,0.0,114101.9113,2.0,119.1538,5.2302,1.0,True,True,True,True,True,True
100.0,2.5284,48.4298,1.0,107544.9201,1.0,31.5927,5.4856,0.0,False,False,False,True,True,True
70.0,4.0125,13.3955,1.0,40731.1892,0.0,101.1474,1.1313,1.0,True,True,True,True,True,True
78.0,3.8884,27.1422,2.0,118969.5911,1.0,85.9917,6.0845,0.0,True,True,True,True,True,True
35.0,0.2472,18.0055,1.0,43540.542,2.0,104.3368,1.2615,1.0,True,True,True,True,True,True
33.0,1.8252,13.331,2.0,113595.0312,1.0,18.9636,8.2839,0.0,False,False,False,True,True,True
0.0,1.8453,20.3996,1.0,118853.8155,2.0,5.2223,9.5853,0.0,True,True,True,True,True,True
76.0,3.5395,31.8128,0.0,43358.9769,2.0,74.6159,3.7022,0.0,True,True,True,True,True,True
94.0,3.6283,20.5199,2.0,54123.1547,2.0,16.1691,3.2278,0.0,False,False,True,True,True,True
3.0,0.8771,30.0674,1.0,51141.0995,2.0,7.6092,9.3791,1.0,True,True,True,True,True,True
81.0,1.3095,43.3301,1.0,107502.4413,2.0,44.7368,8.7545,0.0,True,True,True,True,True,True
99.0,2.3886,40.8522,0.0,111228.2878,1.0,60.0671,3.7138,0.0,True,True,True,True,True,True
10.0,2.7064,38.0998,0.0,52570.6999,1.0,16.1111,0.609,0.0,False,False,False,False,True,True
33.0,1.1479,22.2258,0.0,102424.0551,2.0,5.1751,5.3025,0.0,False,True,True,True,True,True
100.0,1.8269,17.4217,2.0,118595.5756,0.0,14.8662,6.1789,0.0,False,False,False,True,True,True
16.0,0.6217,34.852,0.0,52456.6817,0.0,109.7242,9.0159,0.0,True,True,True,True,True,True
70.0,3.5008,40.5635,2.0,77355.5556,2.0,49.9993,2.293,1.0,True,True,True,True,True,True
4.0,2.1719,31.5349,0.0,41883.2313,2.0,119.9747,1.4261,1.0,True,True,True,True,True,True
91.0,1.8577,40.3673,0.0,57413.6783,2.0,49.6834,2.9274,0.0,True,True,True,True,True,True
65.0,1.0504,30.3098,2.0,7579.8961,2.0,59.7954,6.3508,0.0,False,False,True,True,True,True
80.0,1.598,16.6079,0.0,88903.2739,2.0,39.7273,3.022,1.0,True,True,True,True,True,True
37.0,3.1629,44.8958,0.0,101692.1952,0.0,28.616,8.6213,0.0,False,False,True,True,True,True
62.0,4.478,45.119,2.0,50001.4404,0.0,116.2171,1.5225,0.0,True,True,True,True,True,True
79.0,4.34,43.8759,2.0,82233.2235,2.0,1.087,2.1615,1.0,False,True,True,True,True,True
1.0,0.398,32.6042,2.0,103488.693,2.0,35.7113,7.9192,1.0,False,False,True,True,True,True
37.0,0.3634,18.1163,1.0,15715.1623,1.0,93.8735,5.4013,1.0,True,True,True,True,True,True
53.0,4.6443,28.2904,2.0,98541.4074,1.0,30.9327,2.2653,1.0,False,False,True,True,True,True
39.0,2.5172,20.3915,0.0,27002.9741,2.0,66.1133,9.1969,0.0,False,False,True,True,True,True
44.0,3.0151,38.5875,2.0,32921.7707,0.0,83.9914,1.1997,1.0,True,True,True,True,True,True
55.0,1.9471,14.2911,1.0,9714.7589,1.0,4.9014,0.9818,1.0,False,True,True,True,True,True
88.0,0.6237,29.5187,2.0,67934.7921,1.0,91.3693,7.8287,1.0,True,True,True,True,True,True
57.0,4.3962,16.6664,0.0,80801.6238,0.0,14.8786,1.6137,1.0,False,False,False,True,True,True
72.0,1.9378,14.1711,0.0,106094.3799,0.0,52.9912,8.7392,1.0,True,True,True,True,True,True
87.0,3.3291,41.4007,0.0,97701.2286,1.0,36.0447,5.2282,0.0,False,False,True,True,True,True
13.0,4.8081,32.1186,1.0,73210.8781,0.0,53.0463,5.8411,1.0,False,True,True,True,True,True
4.0,2.4121,26.5459,0.0,96709.7498,2.0,30.0096,0.5475,1.0,False,False,True,True,True,True
37.0,4.1382,13.1061,2.0,3276.9412,0.0,0.4288,3.3335,0.0,True,True,True,True,True,True
21.0,4.6688,45.1977,1.0,81053.1869,2.0,39.8318,0.5821,0.0,False,True,True,True,True,True
35.0,2.5756,32.5022,1.0,40052.9676,2.0,119.0479,0.0267,0.0,True,True,True,True,True,True
17.0,2.4185,41.8775,0.0,10903.9567,1.0,116.2049,0.1734,0.0,False,False,True,True,True,True
35.0,4.6246,21.5912,1.0,57427.6015,2.0,40.0511,6.6773,1.0,False,False,True,True,True,True
54.0,3.0114,31.2531,2.0,1143.3022,2.0,46.8946,1.9164,0.0,True,True,True,True,True,True
87.0,3.7841,28.8991,2.0,76764.8107,2.0,24.1143,0.0996,1.0,False,False,False,True,True,True
94.0,4.935,49.4566,2.0,38062.4946,0.0,80.8345,2.7213,1.0,False,False,True,True,True,True
85.0,1.6261,19.2749,1.0,3053.1802,1.0,108.7125,7.2846,0.0,True,True,True,True,True,True
27.0,3.7469,39.9365,1.0,15120.6944,1.0,16.1655,6.3027,1.0,False,False,False,True,True,True
0.0,3.9313,47.1705,0.0,38441.4226,0.0,45.611,0.8291,1.0,True,True,True,True,True,True
44.0,1.724,25.9927,2.0,110835.4621,1.0,87.4433,7.2642,1.0,True,True,True,True,True,True
59.0,2.5788,33.6581,1.0,52271.1728,1.0,58.4828,1.161,0.0,True,True,True,True,True,True
89.0,1.5572,23.1791,2.0,67916.7537,0.0,2.0523,4.749,1.0,True,True,True,True,True,True
91.0,0.0705,41.5539,2.0,106268.34,1.0,115.1033,6.1724,1.0,True,True,True,True,True,True
18.0,3.9904,19.574,2.0,46929.1678,0.0,45.9897,4.9108,1.0,True,True,True,True,True,True
90.0,1.685,48.4292,2.0,75529.5505,2.0,48.2519,8.4845,1.0,False,False,True,True,True,True
55.0,4.2997,31.6045,2.0,18246.4987,2.0,116.9207,2.8702,0.0,False,True,True,True,True,True
82.0,3.2758,35.2619,1.0,51478.045,1.0,49.4189,1.8946,0.0,True,True,True,True,True,True
71.0,2.4973,29.2554,0.0,29627.7839,0.0,71.8425,8.6051,0.0,True,True,True,True,True,True
72.0,0.3256,20.2055,2.0,28781.9131,2.0,81.0696,3.4654,1.0,True,True,True,True,True,True
90.0,3.5907,11.0505,0.0,104638.1668,1.0,72.9984,7.2207,0.0,True,True,True,True,True,True
39.0,3.2655,36.146,1.0,98346.2594,2.0,71.8344,1.9011,0.0,True,True,True,True,True,True
93.0,0.9509,45.6712,1.0,57959.0076,1.0,98.939,4.2311,1.0,True,True,True,True,True,True
22.0,3.2537,30.7346,0.0,64451.7656,0.0,43.2622,3.4162,0.0,True,True,True,True,True,True
39.0,3.1051,11.543,2.0,54556.3757,0.0,115.5101,8.9636,0.0,True,True,True,True,True,True
5.0,3.4927,46.8209,1.0,38388.1399,2.0,104.6634,1.3596,0.0,True,True,True,True,True,True
68.0,3.1343,25.1518,1.0,36757.194,1.0,113.9152,3.3326,0.0,True,True,True,True,True,True
7.0,1.2383,16.7304,0.0,62924.4247,0.0,10.4175,7.7235,0.0,True,True,True,True,True,True
46.0,3.1397,28.1712,2.0,109435.3266,1.0,51.628,1.3149,1.0,True,True,True,True,True,True
92.0,2.0645,17.0612,0.0,20346.7448,2.0,58.8696,1.443,0.0,True,True,True,True,True,True
100.0,4.013,40.2504,2.0,96424.7738,2.0,71.4532,8.251,0.0,False,False,True,True,True,True
47.0,2.2124,15.9386,2.0,73672.8702,1.0,54.8482,3.6911,0.0,True,True,True,True,True,True
45.0,1.1534,10.0127,2.0,113790.7046,0.0,31.9759,4.9611,1.0,False,False,False,True,True,True
96.0,3.4745,36.9728,2.0,85756.483,0.0,2.2121,6.6178,0.0,True,True,True,True,True,True
68.0,3.8145,48.7864,0.0,53225.9293,1.0,69.7489,1.3045,1.0,True,True,True,True,True,True
76.0,0.3075,15.448,0.0,96190.8979,2.0,102.5001,8.7714,1.0,True,True,True,True,True,True
78.0,0.0228,35.7282,2.0,33086.4913,0.0,25.7891,6.2716,0.0,False,False,False,True,True,True
78.0,3.37,45.0583,1.0,33207.8187,0.0,104.4339,2.0609,1.0,True,True,True,True,True,True
58.0,3.4375,30.6606,1.0,70259.1083,0.0,67.7449,8.2608,0.0,False,True,True,True,True,True
84.0,4.7388,20.7028,0.0,84255.6374,0.0,6.0149,7.239,0.0,False,False,True,True,True,True
43.0,3.081,25.7206,1.0,23690.2408,1.0,90.3312,2.4221,0.0,True,True,True,True,True,True
74.0,2.3175,32.2794,0.0,119304.5191,2.0,54.2033,4.773,1.0,True,True,True,True,True,True
55.0,2.8603,32.3545,0.0,19722.4876,2.0,4.1391,4.0298,1.0,True,True,True,True,True,True
90.0,2.6107,41.5113,0.0,85348.1946,2.0,32.5405,7.8231,1.0,False,False,False,True,True,True
42.0,4.7507,41.4047,2.0,82434.8443,0.0,92.427,1.8564,1.0,True,True,True,True,True,True
43.0,3.8644,23.5947,1.0,82329.4992,1.0,115.9531,1.9401,0.0,True,True,True,True,True,True
61.0,0.4255,48.1087,0.0,47627.1895,1.0,52.4638,7.123,1.0,True,True,True,True,True,True
14.0,4.1089,42.3039,0.0,49366.8237,0.0,79.7761,0.6527,1.0,True,True,True,True,True,True
65.0,2.2953,19.3763,2.0,112853.8669,1.0,67.0052,4.2446,1.0,True,True,True,True,True,True
17.0,0.4715,18.9474,2.0,87238.4771,1.0,38.9135,3.1431,0.0,False,False,True,True,True,True
85.0,1.118,24.1246,0.0,14205.796,1.0,114.9606,9.7544,1.0,True,True,True,True,True,True
40.0,4.2462,11.1858,1.0,112747.2949,2.0,85.3159,3.9809,0.0,False,True,True,True,True,True
39.0,1.5711,14.6099,0.0,98942.9789,0.0,41.1944,1.8168,1.0,True,True,True,True,True,True
66.0,1.6647,14.1949,1.0,42669.6718,1.0,25.3834,3.4726,0.0,False,False,False,True,True,True
2.0,4.7229,16.6118,2.0,90679.6008,0.0,98.3281,6.7717,0.0,False,False,True,True,True,True
33.0,3.7978,35.9673,2.0,88028.1332,0.0,60.0056,4.3381,1.0,True,True,True,True,True,True
92.0,3.7478,49.5533,1.0,76127.5788,1.0,108.5848,3.059,0.0,True,True,True,True,True,True
27.0,4.4032,15.5942,0.0,96791.5266,2.0,93.9191,1.9336,1.0,True,True,True,True,True,True
1.0,1.1158,12.5081,0.0,7167.8425,1.0,116.5632,3.1302,0.0,True,True,True,True,True,True
72.0,1.115,44.099,1.0,96124.1016,2.0,92.8676,3.8851,0.0,True,True,True,True,True,True
65.0,2.1159,43.4447,2.0,13396.3972,0.0,36.7953,8.8965,0.0,False,False,False,True,True,True
93.0,4.3598,31.5109,1.0,87627.0463,0.0,13.701,5.3911,1.0,False,False,True,True,True,True
43.0,2.9416,24.473,1.0,55850.9443,1.0,81.1525,9.4623,1.0,False,True,True,True,True,True
23.0,4.8076,37.0934,1.0,55818.2627,2.0,52.9527,1.9655,0.0,False,False,True,True,True,True
